-3999	1	02	17	35	11	106769	Pen	—	—	22N	178W
-3999	6	28	21	39	30	106751	Pen	—	—	20S	117E
-3999	11	23	23	05	08	106737	P	82.0	—	13N	98E
-3998	5	19	08	56	31	106720	P	96.2	—	10S	52W
-3998	11	13	11	19	35	106702	T	212.7	80.1	9N	86W
-3997	5	08	18	45	17	106685	T	217.6	99.4	6S	162E
-3997	11	02	16	32	25	106668	T	209.3	31.1	3N	163W
-3996	4	27	10	25	41	106650	P	164.9	—	1S	71W
-3996	10	21	15	55	59	106633	Pen	—	—	2S	153W
-3995	3	18	20	14	39	106618	Pen	—	—	12N	145E
-3995	4	17	03	42	36	106615	Pen	—	—	4N	31E
-3995	9	11	00	54	36	106601	Pen	—	—	15S	72E
-3994	3	08	07	17	31	106584	T	206.1	42.2	16N	20W
-3994	8	31	12	23	40	106566	T	192.7	35.1	19S	100W
-3993	2	25	11	00	24	106549	T	220.6	68.3	20N	76W
-3993	8	21	04	06	03	106532	T	204.6	84.2	22S	23E
-3992	2	14	11	13	41	106514	Pen	—	—	23N	80W
-3992	8	09	19	23	59	106497	P	71.1	—	24S	153E
-3991	1	04	03	05	39	106482	P	13.1	—	22N	39E
-3991	6	30	15	55	11	106465	Pen	—	—	21S	158W
-3991	12	24	16	46	37	106448	T	203.9	80.3	21N	167W
-3990	6	19	17	02	48	106430	T	223.2	73.2	19S	176W
-3990	12	14	08	45	08	106413	T	194.3	51.9	19N	48W
-3989	6	08	18	37	13	106396	T	208.1	31.2	17S	161E
-3989	12	03	22	20	20	106378	Pen	—	—	17N	107E
-3988	4	28	18	18	23	106364	Pen	—	—	1S	170E
-3988	5	28	02	43	46	106361	Pen	—	—	14S	39E
-3988	10	23	11	16	32	106346	Pen	—	—	1S	85W
-3987	4	18	10	53	21	106329	P	165.9	—	3N	78W
-3987	10	12	10	11	31	106312	P	209.3	—	5S	68W
-3986	4	08	03	46	13	106294	T	214.1	98.3	6N	29E
-3986	10	01	12	34	33	106277	T	218.4	84.5	9S	104W
-3985	3	28	16	21	35	106260	P	101.2	—	9N	159W
