Year	Month	Day	Hour	Minute	Second	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-13000	4	09	14	26	52	Pen	—	—	23N	98E
-13000	5	08	22	54	02	Pen	—	—	21N	129E
-13000	10	03	12	32	49	P	—	—	24S	83W
-12999	3	30	03	26	29	P	—	—	24N	87E
-12999	9	22	21	01	09	T	—	—	24S	95W
-12998	3	19	09	31	06	T	—	—	24N	76E
-12998	9	12	11	13	55	P	—	—	24S	108W
-12997	3	08	10	20	47	P	—	—	23N	63E
-12997	8	03	14	56	41	Pen	—	—	12S	149W
-12997	9	02	02	51	21	Pen	—	—	23S	119W
-12996	1	27	01	53	02	Pen	—	—	10N	26E
-12996	2	25	12	57	53	Pen	—	—	22N	52E
-12996	7	22	23	58	24	P	—	—	9S	159W
-12995	1	15	14	47	19	T	—	—	7N	16E
-12995	7	12	01	45	24	T	—	—	5S	170W
-12994	1	05	07	44	41	T	—	—	4N	6E
-12994	7	01	00	47	13	P	—	—	0S	179E
-12994	11	26	14	54	05	Pen	—	—	13S	28W
-12994	12	26	00	06	54	Pen	—	—	0N	3W
-12993	5	21	15	39	35	Pen	—	—	17N	142E
-12993	6	20	04	39	04	Pen	—	—	4N	168E
-12993	11	15	22	16	01	P	—	—	16S	39W
-12992	5	10	06	01	52	P	—	—	20N	131E
-12992	11	03	23	09	27	T	—	—	19S	50W
-12991	4	29	22	30	00	T	—	—	22N	119E
-12991	10	23	23	59	08	P	—	—	21S	62W
-12990	4	19	12	21	44	P	—	—	23N	108E
-12990	9	13	19	15	44	Pen	—	—	25S	106W
-12990	10	13	07	05	22	Pen	—	—	22S	74W
-12989	3	10	05	27	53	Pen	—	—	24N	65E
-12989	4	08	19	46	33	Pen	—	—	23N	97E
-12989	9	03	10	17	02	P	—	—	23S	118W
-12988	2	27	06	03	27	P	—	—	21N	54E
-12988	8	23	01	24	31	T	—	—	20S	129W
-12987	2	15	10	22	56	T	—	—	18N	44E
-12987	8	12	12	01	26	P	—	—	16S	140W
-12986	2	04	21	58	01	P	—	—	14N	34E
-12986	8	01	15	18	25	Pen	—	—	12S	151W
-12986	12	27	08	01	58	P	—	—	1N	2W
-12985	6	21	19	41	57	P	—	—	3N	170E
-12985	12	16	23	21	15	T	—	—	4S	11W
-12984	6	10	01	46	50	T	—	—	8N	160E
-12984	12	05	08	34	04	P	—	—	9S	20W
-12983	5	30	14	47	28	P	—	—	13N	150E
-12983	10	25	17	59	08	Pen	—	—	20S	60W
-12983	11	24	10	44	41	Pen	—	—	14S	30W
-12982	4	20	21	57	36	Pen	—	—	22N	110E
-12982	5	20	06	54	51	Pen	—	—	17N	140E
-12982	10	14	20	05	25	P	—	—	23S	72W
-12981	4	10	10	24	05	P	—	—	24N	98E
-12981	10	04	05	08	18	T	—	—	24S	83W
-12980	3	29	15	52	07	T	—	—	25N	87E
-12980	9	22	19	41	31	P	—	—	25S	95W
-12979	3	18	16	26	49	P	—	—	25N	75E
-12979	8	13	23	30	20	Pen	—	—	16S	137W
-12979	9	12	11	23	25	Pen	—	—	25S	107W
-12978	2	06	08	26	09	Pen	—	—	14N	35E
-12978	3	07	19	21	21	Pen	—	—	24N	63E
-12978	8	03	08	08	09	P	—	—	13S	149W
-12977	1	26	21	46	39	T	—	—	11N	26E
-12977	7	23	09	33	33	T	—	—	9S	160W
-12976	1	16	14	52	56	T	—	—	8N	16E
-12976	7	11	08	35	22	P	—	—	5S	171W
-12976	12	06	22	00	37	Pen	—	—	9S	18W
-12975	1	05	07	07	49	Pen	—	—	4N	6E
-12975	5	31	23	36	05	Pen	—	—	13N	152E
-12975	6	30	12	45	04	Pen	—	—	1S	179E
-12975	11	26	05	02	15	P	—	—	13S	29W
-12974	5	21	14	03	33	P	—	—	16N	141E
-12974	11	15	05	51	56	T	—	—	16S	39W
-12973	5	11	06	18	51	T	—	—	19N	131E
-12973	11	04	07	07	06	P	—	—	19S	51W
-12972	4	29	19	42	23	P	—	—	21N	120E
-12972	9	24	03	34	07	Pen	—	—	26S	93W
-12972	10	23	14	49	20	Pen	—	—	20S	62W
-12971	3	20	11	38	06	Pen	—	—	25N	77E
-12971	4	19	02	29	28	Pen	—	—	22N	108E
-12971	9	13	18	51	07	P	—	—	25S	105W
-12970	3	09	12	09	47	P	—	—	23N	65E
-12970	9	03	09	56	26	T	—	—	22S	117W
-12969	2	26	16	52	45	T	—	—	20N	54E
-12969	8	23	20	16	04	P	—	—	19S	129W
-12968	2	16	04	52	10	P	—	—	17N	44E
-12968	8	11	23	12	02	Pen	—	—	15S	140W
-12967	1	06	15	11	48	P	—	—	5N	8E
-12967	2	04	21	34	33	Pen	—	—	13N	35E
-12967	7	02	03	30	57	P	—	—	2S	179W
-12967	12	27	06	19	43	T	—	—	0S	1W
-12966	6	21	09	54	34	T	—	—	4N	170E
-12966	12	16	15	09	56	P	—	—	5S	11W
-12965	6	10	23	03	33	P	—	—	9N	161E
-12965	11	06	00	52	07	Pen	—	—	17S	49W
-12965	12	05	17	08	35	Pen	—	—	10S	20W
-12964	5	01	05	34	22	Pen	—	—	20N	121E
-12964	5	30	15	03	10	Pen	—	—	14N	151E
-12964	10	25	03	29	31	P	—	—	21S	60W
-12963	4	20	17	28	10	P	—	—	22N	110E
-12963	10	14	13	08	23	T	—	—	23S	71W
-12962	4	09	22	19	46	T	—	—	24N	98E
-12962	10	04	04	02	47	P	—	—	25S	83W
-12961	3	29	22	41	05	P	—	—	25N	87E
-12961	8	25	08	00	40	Pen	—	—	19S	126W
-12961	9	23	19	48	08	Pen	—	—	26S	95W
-12960	2	17	15	02	09	Pen	—	—	17N	46E
-12960	3	18	01	52	10	Pen	—	—	25N	75E
-12960	8	13	16	16	19	P	—	—	16S	138W
-12959	2	06	04	46	50	T	—	—	15N	36E
-12959	8	02	17	22	07	T	—	—	13S	150W
-12958	1	26	21	59	36	T	—	—	12N	26E
-12958	7	22	16	28	59	P	—	—	9S	161W
-12958	12	18	04	57	04	Pen	—	—	5S	8W
-12957	1	16	14	02	32	Pen	—	—	9N	16E
-12957	6	12	07	42	57	Pen	—	—	9N	163E
-12957	7	11	20	58	50	Pen	—	—	6S	171W
-12957	12	07	11	36	05	P	—	—	9S	18W
-12956	5	31	22	14	52	P	—	—	13N	152E
-12956	11	25	12	22	01	T	—	—	12S	29W
-12955	5	21	14	17	05	T	—	—	16N	141E
-12955	11	14	14	06	17	P	—	—	15S	40W
-12954	5	11	03	09	56	P	—	—	18N	131E
-12954	10	05	11	47	11	Pen	—	—	26S	81W
-12954	11	03	22	26	49	Pen	—	—	18S	51W
-12953	3	31	17	53	13	Pen	—	—	26N	89E
-12953	4	30	09	19	00	Pen	—	—	20N	119E
-12953	9	25	03	19	52	P	—	—	25S	93W
-12952	3	19	18	20	52	P	—	—	25N	77E
-12952	9	13	18	23	28	T	—	—	24S	105W
-12951	3	08	23	28	19	T	—	—	23N	65E
-12951	9	03	04	25	23	P	—	—	22S	117W
-12950	2	26	11	51	30	P	—	—	20N	55E
-12950	8	23	07	03	04	Pen	—	—	19S	128W
-12949	1	17	22	18	37	P	—	—	9N	17E
-12949	2	16	04	40	47	Pen	—	—	16N	45E
-12949	7	13	11	26	26	P	—	—	6S	170W
-12948	1	07	13	11	25	T	—	—	4N	8E
-12948	7	01	18	10	04	T	—	—	1S	180W
-12948	12	26	21	36	08	P	—	—	1S	1W
-12947	6	21	07	28	33	P	—	—	4N	171E
-12947	11	16	07	34	53	Pen	—	—	14S	38W
-12947	12	15	23	24	00	Pen	—	—	6S	11W
-12946	5	12	13	19	55	Pen	—	—	17N	132E
-12946	6	10	23	19	49	Pen	—	—	9N	161E
