Year	Month	Day	Hour	Minute	Second	Type	Gamma
-13000	4	23	21	20	47	A	0.1237
-13000	10	18	23	12	40	T	0.7340
-12999	4	13	01	31	30	A	-0.6212
-12999	9	8	18	50	09	P	-1.3961
-12999	10	8	10	21	18	P	1.5043
-12998	3	4	05	31	29	P	1.2223
-12998	4	2	13	07	02	P	-1.3204
-12998	8	28	19	08	00	A	-0.7483
-12997	2	21	22	50	00	T	0.4873
-12997	8	17	18	47	13	A	-0.0628
-12996	2	11	14	01	34	T	-0.2766
-12996	8	6	00	37	03	A	0.6231
-12995	1	30	23	00	29	P	-1.0997
-12995	6	27	02	21	42	P	-1.4332
-12995	7	26	13	13	43	P	1.2545
-12995	12	21	10	26	25	A	0.9480
-12994	6	16	17	47	47	T	-0.7942
-12994	12	10	13	37	05	A	0.1622
-12993	6	6	05	11	14	A	-0.1058
-12993	11	29	23	49	03	T	-0.5975
-12992	5	25	09	29	09	A	0.6293
-12992	10	20	06	59	00	P	1.2882
-12992	11	18	15	23	10	P	-1.2886
-12991	5	14	09	09	18	P	1.3380
-12991	10	9	21	50	11	T	0.6272
-12990	4	3	23	19	09	H	-0.7710
-12990	9	29	06	53	12	A	-0.0844
-12989	3	24	12	44	19	T	0.0072
-12989	9	18	08	35	19	A	-0.8018
-12988	3	13	05	45	00	T	0.7396
-12988	8	7	14	06	09	P	1.5370
-12988	9	6	07	48	52	P	-1.4618
-12987	2	1	12	49	31	P	-1.0776
-12987	3	2	21	39	55	P	1.5135
-12987	7	27	22	05	06	A	0.7908
-12986	1	21	19	44	27	A	-0.3252
-12986	7	17	12	00	43	T	0.0981
-12985	1	10	20	53	47	A	0.4477
-12985	7	7	03	34	49	T	-0.5698
-12985	12	1	11	02	37	P	-1.5449
-12985	12	30	23	05	43	P	1.1905
-12984	5	27	01	54	40	P	1.5507
-12984	6	25	16	04	28	P	-1.2988
-12984	11	19	23	01	19	T	-0.7453
-12983	5	16	04	26	28	A	0.8897
-12983	11	9	15	13	52	T	-0.0178
-12982	5	5	04	11	23	A	0.1718
-12982	10	30	07	05	11	T	0.7059
-12981	4	24	08	37	59	A	-0.5671
-12981	9	20	02	38	20	P	-1.4069
-12981	10	19	17	59	23	P	1.4851
-12980	3	14	12	42	59	P	1.2883
-12980	4	12	20	30	09	P	-1.2624
-12980	9	8	02	47	36	A	-0.7531
-12979	3	4	05	56	53	T	0.5619
-12979	8	28	02	44	34	A	-0.0610
-12978	2	21	20	46	50	T	-0.1982
-12978	8	17	09	01	59	A	0.6271
-12977	2	11	05	13	28	P	-1.0172
-12977	7	8	10	58	35	P	-1.4335
-12977	8	6	21	56	16	P	1.2586
-12976	1	1	16	32	28	P	1.0293
-12976	6	27	02	10	58	T	-0.8018
-12976	12	20	20	14	58	A	0.2328
-12975	6	16	13	04	41	A	-0.1195
-12975	12	10	07	02	47	T	-0.5362
-12974	6	5	16	48	55	A	0.6058
-12974	10	31	14	58	36	P	1.3202
-12974	11	29	22	58	31	P	-1.2379
-12973	5	25	16	14	32	P	1.3026
-12973	10	21	05	45	40	T	0.6538
-12972	4	14	06	26	33	H	-0.8246
-12972	10	9	14	30	36	A	-0.0638
-12971	4	3	20	05	42	T	-0.0533
-12971	9	28	16	02	06	A	-0.7869
-12970	3	24	13	03	20	T	0.6754
-12970	8	18	22	12	13	P	1.5282
-12970	9	17	15	30	10	P	-1.4520
-12969	2	12	19	25	47	P	-1.1606
-12969	3	14	04	37	11	P	1.4498
-12969	8	8	06	37	02	A	0.7810
-12968	2	2	01	48	45	A	-0.4150
-12968	7	27	20	44	00	T	0.0918
-12967	1	21	02	49	40	A	0.3577
-12967	7	17	12	11	31	T	-0.5746
-12966	1	10	05	26	13	P	1.1078
-12966	7	7	00	18	12	P	-1.3027
-12966	12	1	06	27	08	T	-0.7954
-12965	5	27	11	32	35	A	0.9225
-12965	11	20	22	56	41	T	-0.0630
-12964	5	15	11	12	19	A	0.2117
-12964	11	9	14	46	52	T	0.6698
-12963	5	4	15	55	46	A	-0.5214
-12963	9	30	10	17	32	P	-1.4239
-12963	10	30	01	26	49	P	1.4586
-12962	3	25	20	01	03	P	1.3491
-12962	4	24	04	02	25	P	-1.2114
-12962	9	19	10	20	59	A	-0.7627
-12961	3	15	13	07	56	T	0.6325
-12961	9	8	10	37	57	A	-0.0629
-12960	3	4	03	32	49	T	-0.1218
