Year	Month	Day	Hour	Minute	Second	Catalog	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-13000	4	09	-9	-33	-7	0	Pen	—	—	23N	49W
-13000	5	08	-1	-5	-57	0	Pen	—	—	21N	115E
-13000	10	03	-11	-27	-10	0	P	—	—	24S	110E
-12999	3	30	-20	-33	-30	0	P	—	—	24N	135E
-12999	9	22	-2	-58	-50	0	T	—	—	24S	141W
-12998	3	19	-14	-28	-53	0	T	—	—	24N	131W
-12998	9	12	-12	-46	-4	0	P	—	—	24S	59E
-12997	3	08	-13	-39	-12	0	P	—	—	23N	142W
-12997	8	03	-9	-3	-18	0	Pen	—	—	12S	79E
-12997	9	02	-21	-8	-38	0	Pen	—	—	23S	72W
-12996	1	27	01	53	02	0	Pen	—	—	10N	58E
-12996	2	25	12	57	53	0	Pen	—	—	22N	108W
-12996	7	22	00	-1	-35	0	P	—	—	9S	156W
-12995	1	15	14	47	19	0	T	—	—	7N	117W
-12995	7	12	-22	-14	-35	0	T	—	—	5S	137W
-12994	1	05	07	44	41	0	T	—	—	4N	127E
-12994	7	01	-23	-12	-46	0	P	—	—	0S	163W
-12994	11	26	14	54	05	0	Pen	—	—	13S	167W
-12994	12	26	00	06	54	0	Pen	—	—	0N	3W
-12993	5	21	-8	-20	-24	0	Pen	—	—	17N	21E
-12993	6	20	-19	-20	-55	0	Pen	—	—	4N	114W
-12993	11	15	22	16	01	0	P	—	—	16S	73W
-12992	5	10	-17	-58	-7	0	P	—	—	20N	139W
-12992	11	03	23	09	27	0	T	—	—	19S	69W
-12991	4	29	-1	-30	00	0	T	—	—	22N	91E
-12991	10	23	00	00	-51	0	P	—	—	21S	65W
-12990	4	19	-11	-38	-15	0	P	—	—	23N	70W
-12990	9	13	-4	-44	-15	0	Pen	—	—	25S	180W
-12990	10	13	-16	-54	-37	0	Pen	—	—	22S	29E
-12989	3	10	-18	-32	-6	0	Pen	—	—	24N	145E
-12989	4	08	-4	-13	-26	0	Pen	—	—	23N	39E
-12989	9	03	-13	-42	-57	0	P	—	—	23S	35E
-12988	2	27	06	03	27	0	P	—	—	21N	149E
-12988	8	23	-22	-35	-28	0	T	—	—	20S	111W
-12987	2	15	10	22	56	0	T	—	—	18N	162W
-12987	8	12	-11	-58	-33	0	P	—	—	16S	44E
-12986	2	04	21	58	01	0	P	—	—	14N	8E
-12986	8	01	-8	-41	-34	0	Pen	—	—	12S	78E
-12986	12	27	08	01	58	0	P	—	—	1N	118E
-12985	6	21	-4	-18	-2	0	P	—	—	3N	112E
-12985	12	16	23	21	15	0	T	—	—	4S	27W
-12984	6	10	-22	-13	-9	0	T	—	—	8N	169W
-12984	12	05	08	34	04	0	P	—	—	9S	112E
-12983	5	30	-9	-12	-31	0	P	—	—	13N	16E
-12983	10	25	-6	00	-51	0	Pen	—	—	20S	153W
-12983	11	24	10	44	41	0	Pen	—	—	14S	131E
-12982	4	20	-2	-2	-23	0	Pen	—	—	22N	82E
-12982	5	20	-17	-5	-8	0	Pen	—	—	17N	115W
-12982	10	14	-3	-54	-34	0	P	—	—	23S	134W
-12981	4	10	-13	-35	-54	0	P	—	—	24N	109W
-12981	10	04	-18	-51	-41	0	T	—	—	24S	10W
-12980	3	29	-8	-7	-52	0	T	—	—	25N	30W
-12980	9	22	-4	-18	-28	0	P	—	—	25S	155W
-12979	3	18	-7	-33	-10	0	P	—	—	25N	41W
-12979	8	13	00	-29	-39	0	Pen	—	—	16S	135W
-12979	9	12	-12	-36	-34	0	Pen	—	—	25S	59E
-12978	2	06	08	26	09	0	Pen	—	—	14N	159E
-12978	3	07	-4	-38	-38	0	Pen	—	—	24N	7W
-12978	8	03	-15	-51	-50	0	P	—	—	13S	26W
-12977	1	26	21	46	39	0	T	—	—	11N	1W
-12977	7	23	-14	-26	-26	0	T	—	—	9S	7W
-12976	1	16	14	52	56	0	T	—	—	8N	117W
-12976	7	11	-15	-24	-37	0	P	—	—	5S	33W
-12976	12	06	22	00	37	0	Pen	—	—	9S	51W
-12975	1	05	07	07	49	0	Pen	—	—	4N	113E
-12975	5	31	00	-23	-54	0	Pen	—	—	13N	152E
-12975	6	30	-11	-14	-55	0	Pen	—	—	1S	16E
-12975	11	26	05	02	15	0	P	—	—	13S	43E
-12974	5	21	-9	-56	-26	0	P	—	—	16N	8W
-12974	11	15	05	51	56	0	T	—	—	16S	47E
-12973	5	11	-17	-41	-8	0	T	—	—	19N	139W
-12973	11	04	07	07	06	0	P	—	—	19S	51E
-12972	4	29	-4	-17	-36	0	P	—	—	21N	61E
-12972	9	24	-20	-25	-52	0	Pen	—	—	26S	34W
-12972	10	23	-9	-10	-39	0	Pen	—	—	20S	160E
-12971	3	20	-12	-21	-53	0	Pen	—	—	25N	99W
